ecmdb_id,name,kegg_id,bigg_id,conc_mM,raw_conc,condition,ref
ECMDB00034,Adenine,C00147,ade,0.001,1± 0 uM,K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,PMID:19561621
ECMDB00034,Adenine,C00147,ade,0.001,1± 0 uM,K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,PMID:19561621
ECMDB00034,Adenine,C00147,ade,0.001,1± 0 uM,K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate,PMID:19561621
ECMDB00034,Adenine,C00147,ade,0.102,102± 0 uM,"BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco",PMID:17379776
ECMDB00034,Adenine,C00147,ade,0.034,34± 10 uM,BL21 DE3Luria-Bertani (LB) media,Experimentally DeterminedDownload Details
ECMDB00042,Acetic acid,C00033,ac,0.658,658± 25 uM,BL21 DE3Luria-Bertani (LB) media,Experimentally DeterminedDownload Details
ECMDB00045,Adenosine monophosphate,C00020,amp,2.51,2510± 183 uM,"K120.2 g/L NH4Cl, 2.0 g/L (NH4)2SO4, 3.25 g/L KH2PO4, 2.5 g/L K2HPO4, 1.5 g/L NaH2PO4, 0.5 g/L MgSO4; trace substances: 10 mg/L CaCl2, 0.5 mg/L ZnSO4, 0.25 mg/L CuCl2, 0.25 mg/L  MnSO4, 0.175 mg/L CoCl2, 0.125 mg/L H3BO3, 2.5 mg/L AlCl3, 0.5 mg/L Na2MoO4, 10",PMID:11488613
ECMDB00045,Adenosine monophosphate,C00020,amp,0.281,281± 0 uM,K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,PMID:19561621
ECMDB00045,Adenosine monophosphate,C00020,amp,0.156,156± 0 uM,K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,PMID:19561621
ECMDB00045,Adenosine monophosphate,C00020,amp,0.101,101± 0 uM,K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate,PMID:19561621
ECMDB00045,Adenosine monophosphate,C00020,amp,0.7,700± 0 uM,"BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco",PMID:17379776
ECMDB00050,Adenosine,C00212,adn,0.00013000000000000002,0.13± 0.0 uM,K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,PMID:19561621
ECMDB00050,Adenosine,C00212,adn,0.062,62± 0 uM,"BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco",PMID:17379776
ECMDB00056,beta-Alanine,C00099,ala_B,0.012,12± 0 uM,"BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco",PMID:17379776
ECMDB00058,Cyclic AMP,C00575,camp,0.035,35± 0 uM,K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,PMID:19561621
ECMDB00058,Cyclic AMP,C00575,camp,0.083,83± 0 uM,K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,PMID:19561621
ECMDB00058,Cyclic AMP,C00575,camp,0.146,146± 0 uM,K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate,PMID:19561621
ECMDB00060,Acetoacetic acid,C00164,acac,0.037,37± 9 uM,BL21 DE3Luria-Bertani (LB) media,Experimentally DeterminedDownload Details
ECMDB00062,Carnitine,C00487,crn,0.004,4± 0 uM,"BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco",PMID:17379776
ECMDB00072,cis-Aconitic acid,C00417,acon_C,0.016,16± 0 uM,K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,PMID:19561621
ECMDB00072,cis-Aconitic acid,C00417,acon_C,0.096,96± 0 uM,K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,PMID:19561621
ECMDB00082,Cytidine triphosphate,C00063,ctp,2.73,2730± 0 uM,K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,PMID:19561621
ECMDB00082,Cytidine triphosphate,C00063,ctp,1.4,1400± 0 uM,K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,PMID:19561621
ECMDB00082,Cytidine triphosphate,C00063,ctp,1.15,1150± 0 uM,K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate,PMID:19561621
ECMDB00082,Cytidine triphosphate,C00063,ctp,0.282,282± 0 uM,"BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco",PMID:17379776
ECMDB00085,Deoxyguanosine,C00330,dgsn,0.0005200000000000001,0.52± 0.0 uM,K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,PMID:19561621
ECMDB00089,Cytidine,C00475,cytd,0.003,3± 0 uM,K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,PMID:19561621
ECMDB00094,Citric acid,C00158,cit,1.96,1960± 0 uM,K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,PMID:19561621
ECMDB00094,Citric acid,C00158,cit,2.32,2320± 0 uM,K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol,PMID:19561621
ECMDB00094,Citric acid,C00158,cit,21.9,21900± 0 uM,K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate,PMID:19561621
ECMDB00094,Citric acid,C00158,cit,0.099,99± 12 uM,BL21 DE3Luria-Bertani (LB) media,Experimentally DeterminedDownload Details
ECMDB00095,Cytidine monophosphate,C00055,cmp,0.36,360± 0 uM,K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,PMID:19561621
ECMDB00101,Deoxyadenosine,C00559,dad_2,0.003,3± 0 uM,K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose,PMID:19561621
ECMDB00123,Glycine,C00037,gly,0.318,318± 0 uM,"BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O.  4 g/L Gluco",PMID:17379776
ECMDB00123,Glycine,C00037,gly,0.235,235± 14 uM,BL21 DE3Luria-Bertani (LB) media,Experimentally DeterminedDownload Details
